         150 function calls in 0.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 C:\Users\whati\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:2003(basicConfig)
        1    0.000    0.000    0.000    0.000 C:\Users\whati\Desktop\Eagle Eye Project\src\..\src\app_tracker_utils.py:84(log_debug)
        1    0.000    0.000    0.000    0.000 C:\Users\whati\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:2197(debug)
        1    0.000    0.000    0.000    0.000 C:\Users\whati\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:1497(debug)
        1    0.000    0.000    0.000    0.000 C:\Users\whati\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:1640(_log)
        1    0.000    0.000    0.000    0.000 C:\Users\whati\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:1193(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\whati\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:1241(_open)
        1    0.000    0.000    0.000    0.000 {built-in method _io.open}
        1    0.000    0.000    0.000    0.000 C:\Users\whati\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:1666(handle)
        1    0.000    0.000    0.000    0.000 C:\Users\whati\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:1720(callHandlers)
        1    0.000    0.000    0.000    0.000 C:\Users\whati\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:1010(handle)
        1    0.000    0.000    0.000    0.000 C:\Users\whati\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:1250(emit)
        1    0.000    0.000    0.000    0.000 C:\Users\whati\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:1138(emit)
        1    0.000    0.000    0.000    0.000 C:\Users\whati\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:1130(flush)
        1    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\whati\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:1625(makeRecord)
        1    0.000    0.000    0.000    0.000 C:\Users\whati\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:298(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\whati\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:987(format)
        1    0.000    0.000    0.000    0.000 C:\Users\whati\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:698(format)
